altitude_km,longueur_onde_um,pression_Pa,temperature_C,temperature_K,epaisseur_couche_m,CO2_ppm,H2O_ppm,CH4_ppm,O3_ppm,sigma_CO2_m2_molecule,sigma_H2O_m2_molecule,sigma_CH4_m2_molecule,sigma_O3_m2_molecule,tau_CO2,tau_H2O,tau_CH4,tau_O3,tau_total,emissivite
0,6.3,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.947870100664e-38,9.160000000303e-23,2.434953798330e-26,4.161347535533e-29,2.108451556610e-13,3.019080275043e+04,1.178308557973e-03,1.059860467251e-07,3.019080392884e+04,1.000000000000e+00
0,6.4,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.999576837330e-38,7.206573278530e-23,4.330028203966e-26,4.622791973790e-29,3.246860480935e-13,2.375242711260e+04,2.095361847317e-03,1.177386512303e-07,2.375242920808e+04,1.000000000000e+00
0,6.5,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,4.619127938758e-38,5.669726901484e-23,7.700000000000e-26,5.137097725778e-29,4.999926581006e-13,1.868707494824e+04,3.726138829664e-03,1.308375892536e-07,1.868707867451e+04,1.000000000000e+00
0,6.6,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,7.113117640156e-38,4.460622531050e-23,1.369275145730e-25,5.711748275647e-29,7.699519570442e-13,1.470194049941e+04,6.626115959738e-03,1.454734588869e-07,1.470194712567e+04,1.000000000000e+00
0,6.7,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.095367853706e-37,3.509367154835e-23,2.434953798330e-25,6.356452574945e-29,1.185669442444e-12,1.156666064923e+04,1.178308557973e-02,1.618935390186e-07,1.156667243248e+04,1.000000000000e+00
0,6.8,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.686786013714e-37,2.760972878139e-23,4.330028203966e-25,7.084577384920e-29,1.825843825557e-12,9.099998641968e+03,2.095361847317e-02,1.804382698955e-07,9.100019595767e+03,1.000000000000e+00
0,6.9,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.597526526305e-37,2.172178315316e-23,7.700000000000e-25,7.915743879924e-29,2.811665339418e-12,7.159367582347e+03,3.726138829664e-02,2.016073864433e-07,7.159404843937e+03,1.000000000000e+00
0,7.0,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,4.000000000000e-37,1.708947839098e-23,1.369275145730e-24,8.880570097070e-29,4.329758038571e-12,5.632588113457e+03,6.626115959738e-02,2.261807044993e-07,5.632654374843e+03,1.000000000000e+00
0,7.1,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,6.159706104238e-37,1.344504130494e-23,2.434953798330e-24,1.002937244357e-28,6.667509255015e-12,4.431403820909e+03,1.178308557973e-01,2.554397409374e-07,4.431521652021e+03,1.000000000000e+00
0,7.2,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,9.485494822647e-37,1.057780299605e-23,4.330028203966e-24,1.144817612619e-28,1.026747436454e-11,3.486379517207e+03,2.095361847317e-01,2.915754859372e-07,3.486589053683e+03,1.000000000000e+00
0,7.3,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.460696509019e-36,8.322021012617e-24,7.700000000000e-24,1.328822379646e-28,1.581115612960e-11,2.742887498565e+03,3.726138829664e-01,3.384399635355e-07,2.743260112786e+03,1.000000000000e+00
0,7.4,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.249365300762e-36,6.547298507120e-24,1.369275145730e-23,1.582041846097e-28,2.434801873164e-11,2.157949757315e+03,6.626115959738e-01,4.029328470877e-07,2.158612369314e+03,1.000000000000e+00
0,7.5,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,3.463857293440e-36,5.151046567296e-24,2.434953798330e-23,1.953583183004e-28,3.749415990184e-11,1.697753612078e+03,1.178308557973e+00,4.975613229780e-07,1.698931921134e+03,1.000000000000e+00
0,7.6,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,5.334085728654e-36,4.052554001745e-24,4.330028203966e-23,2.533132430897e-28,5.773825140516e-11,1.335697145176e+03,2.095361847317e+00,6.451676767906e-07,1.337792507668e+03,1.000000000000e+00
0,7.7,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,8.214100105829e-36,3.188321780494e-24,7.700000000000e-23,3.485242700817e-28,8.891266490710e-11,1.050851462627e+03,3.726138829664e+00,8.876622117783e-07,1.054577602344e+03,1.000000000000e+00
0,7.8,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.264911064067e-35,2.508392435007e-24,4.330028203966e-23,5.112680756013e-28,1.369189711931e-10,8.267508867190e+02,2.095361847317e+00,1.302157094235e-06,8.288462498687e+02,1.000000000000e+00
